               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,             0.10442,            0.058292,            0.025951,           0.0066667,             0.38889,             0.02441,           0.0062367,             0.10093,            0.056352,            0.025456,            0.052932,           0.0049323,           0.0049323
                  53,             0.10619,            0.060417,            0.025184,           0.0066038,             0.38889,            0.061478,            0.015735,            0.098085,            0.057208,            0.024374,            0.052022,           0.0050219,           0.0050219
                  53,             0.10619,            0.060417,            0.025184,           0.0066038,             0.38889,            0.061478,            0.015735,            0.098085,            0.057208,            0.024374,            0.052022,           0.0050219,           0.0050219
                  54,             0.10522,            0.055093,            0.026532,           0.0066038,             0.38889,            0.061478,            0.015735,            0.098085,            0.057208,            0.024374,            0.051111,           0.0051113,           0.0051113
                  54,             0.10522,            0.055093,            0.026532,           0.0066038,             0.38889,            0.061478,            0.015735,            0.098085,            0.057208,            0.024374,            0.051111,           0.0051113,           0.0051113
                  55,             0.10486,            0.071712,            0.025747,           0.0066038,             0.38889,            0.061478,            0.015735,            0.098085,            0.057208,            0.024374,            0.050201,           0.0052005,           0.0052005
                  55,             0.10486,            0.071712,            0.025747,           0.0066038,             0.38889,            0.061478,            0.015735,            0.098085,            0.057208,            0.024374,            0.050201,           0.0052005,           0.0052005
                  56,             0.11081,            0.076913,            0.025779,           0.0066038,             0.38889,            0.041891,             0.01142,            0.098057,            0.056817,            0.024572,             0.04929,           0.0052895,           0.0052895
                  56,             0.11081,            0.076913,            0.025779,           0.0066038,             0.38889,            0.041891,             0.01142,            0.098057,            0.056817,            0.024572,             0.04929,           0.0052895,           0.0052895
                  57,             0.10589,            0.057275,            0.024745,           0.0066038,             0.38889,            0.041891,             0.01142,            0.098057,            0.056817,            0.024572,            0.048378,           0.0053783,           0.0053783
                  57,             0.10589,            0.057275,            0.024745,           0.0066038,             0.38889,            0.041891,             0.01142,            0.098057,            0.056817,            0.024572,            0.048378,           0.0053783,           0.0053783
                  58,              0.1103,             0.04951,            0.025372,           0.0066038,             0.38889,            0.041891,             0.01142,            0.098057,            0.056817,            0.024572,            0.047467,            0.005467,            0.005467
                  58,              0.1103,             0.04951,            0.025372,           0.0066038,             0.38889,            0.041891,             0.01142,            0.098057,            0.056817,            0.024572,            0.047467,            0.005467,            0.005467
                  59,             0.10495,            0.067406,            0.026414,           0.0066922,             0.38889,            0.045195,            0.012163,            0.097752,            0.056685,            0.024053,            0.046555,           0.0055554,           0.0055554
                  59,             0.10495,            0.067406,            0.026414,           0.0066922,             0.38889,            0.045195,            0.012163,            0.097752,            0.056685,            0.024053,            0.046555,           0.0055554,           0.0055554
                  60,            0.097773,            0.073343,            0.026843,           0.0066922,             0.38889,            0.045195,            0.012163,            0.097752,            0.056685,            0.024053,            0.045644,           0.0056436,           0.0056436
                  60,            0.097773,            0.073343,            0.026843,           0.0066922,             0.38889,            0.045195,            0.012163,            0.097752,            0.056685,            0.024053,            0.045644,           0.0056436,           0.0056436
                  61,             0.10237,            0.067852,            0.024531,           0.0066922,             0.38889,            0.045195,            0.012163,            0.097752,            0.056685,            0.024053,            0.044732,           0.0057316,           0.0057316
                  61,             0.10237,            0.067852,            0.024531,           0.0066922,             0.38889,            0.045195,            0.012163,            0.097752,            0.056685,            0.024053,            0.044732,           0.0057316,           0.0057316
                  62,             0.10836,            0.061952,            0.026255,           0.0052474,             0.38889,            0.025346,           0.0044955,            0.098104,            0.056786,            0.023759,            0.043819,           0.0058194,           0.0058194
                  62,             0.10836,            0.061952,            0.026255,           0.0052474,             0.38889,            0.025346,           0.0044955,            0.098104,            0.056786,            0.023759,            0.043819,           0.0058194,           0.0058194
